gene	module
TRINITY_DN37117_c0_g1	red
TRINITY_DN70328_c0_g2	turquoise
TRINITY_DN70779_c2_g1	blue
TRINITY_DN45043_c1_g1	turquoise
TRINITY_DN49825_c0_g1	turquoise
TRINITY_DN167573_c1_g1	turquoise
TRINITY_DN26589_c1_g1	turquoise
TRINITY_DN82914_c0_g1	turquoise
TRINITY_DN16038_c0_g1	turquoise
TRINITY_DN23940_c0_g2	turquoise
TRINITY_DN15950_c0_g2	blue
TRINITY_DN15768_c1_g1	turquoise
TRINITY_DN2727_c1_g1	turquoise
TRINITY_DN2840_c0_g1	turquoise
TRINITY_DN121234_c0_g1	blue
TRINITY_DN41609_c2_g1	turquoise
TRINITY_DN67688_c0_g1	turquoise
TRINITY_DN146957_c1_g1	turquoise
TRINITY_DN135785_c0_g1	grey
TRINITY_DN1436_c2_g2	turquoise
TRINITY_DN34949_c1_g1	turquoise
TRINITY_DN948_c1_g1	turquoise
TRINITY_DN17774_c0_g1	blue
TRINITY_DN32423_c0_g2	blue
TRINITY_DN4819_c0_g1	blue
TRINITY_DN4610_c0_g2	blue
TRINITY_DN57609_c0_g1	blue
TRINITY_DN7283_c0_g2	blue
TRINITY_DN30631_c0_g1	blue
TRINITY_DN153501_c0_g1	turquoise
TRINITY_DN130965_c0_g1	blue
TRINITY_DN68629_c1_g1	green
TRINITY_DN13955_c1_g2	turquoise
TRINITY_DN125_c0_g1	turquoise
TRINITY_DN4373_c0_g1	blue
TRINITY_DN3833_c1_g2	blue
TRINITY_DN88321_c0_g1	turquoise
TRINITY_DN626_c0_g1	turquoise
TRINITY_DN72106_c0_g1	turquoise
TRINITY_DN13351_c0_g2	turquoise
TRINITY_DN45371_c0_g1	blue
TRINITY_DN95689_c0_g1	blue
TRINITY_DN151395_c0_g1	blue
TRINITY_DN498_c0_g1	grey
TRINITY_DN2994_c8_g1	turquoise
TRINITY_DN823_c6_g2	blue
TRINITY_DN5244_c3_g1	blue
TRINITY_DN177094_c1_g2	turquoise
TRINITY_DN3489_c0_g1	turquoise
TRINITY_DN129989_c0_g1	turquoise
TRINITY_DN92999_c0_g1	turquoise
TRINITY_DN170677_c1_g1	blue
TRINITY_DN48208_c0_g1	turquoise
TRINITY_DN465_c0_g3	green
TRINITY_DN146326_c2_g1	red
TRINITY_DN2569_c0_g1	blue
TRINITY_DN24869_c0_g1	blue
TRINITY_DN124361_c0_g1	blue
TRINITY_DN150394_c0_g1	blue
TRINITY_DN8956_c17_g1	turquoise
TRINITY_DN82546_c0_g1	turquoise
TRINITY_DN173171_c1_g1	blue
TRINITY_DN57545_c0_g1	blue
